,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,score_time,score_time,score_time,score_time,score_time,score_time,score_time,score_time,score_time,test_score,test_score,test_score,test_score,test_score,test_score,test_score,test_score,test_score
estimator,Castor,DST,DrCif,Hydra,MrSeql,MultiRocket,UST,Rocket,z-time,Castor,DST,DrCif,Hydra,MrSeql,MultiRocket,UST,Rocket,z-time,Castor,DST,DrCif,Hydra,MrSeql,MultiRocket,UST,Rocket,z-time
Fungi,1.908456172943115,1.3202601146697996,17.96995142,1.8680039882659911,19.81098266,0.3456054306030273,0.9526892948150636,0.4494230079650879,2.131523037,0.6146409130096435,0.4151041412353515,64.89537501800001,0.658854923248291,0.198374796,0.03501297950744624,0.32234213829040526,0.21273945808410644,0.498387384,1.0,1.0,1.0,1.0,1.0,1.0,0.9910243902439024,1.0,0.867073171
GunPoint,1.5523645114898683,1.021202974319458,14.105163229999999,1.5022865009307862,1.862526226,0.5168994808197022,0.5726127433776855,0.3903470230102538,0.584937668,0.4872766590118408,0.34905634880065917,30.450110064,0.5457130241394043,0.040450716,0.09875752449035642,0.25806906700134274,0.18143403053283688,0.172487783,1.0,0.998,0.9970000000000001,1.0,0.99,1.0,0.992,1.0,0.95
GunPointAgeSpan,3.368433933258056,2.2932851791381834,29.808707086,3.193484592437744,4.441591215,0.9994462585449219,1.1543817806243897,0.8187204074859619,1.093527937,0.8683402156829834,0.5885774612426757,44.435849004,0.8565949821472169,0.110245705,0.14373564720153806,0.3819946098327637,0.2663497352600097,0.341173315,1.0,1.0,0.9977973139999999,1.0,0.984468864,1.0,0.992957264957265,0.9977777777777778,0.955604396
GunPointMaleVersusFemale,3.3500480747222903,2.177129993438721,30.092788524000003,3.0707052993774413,3.943274879,1.01216609954834,1.2017597007751466,0.8115839195251464,1.089840126,0.8629119873046875,0.5825059223175049,37.898858988,0.9227567577362061,0.092921543,0.14349081993103022,0.3928402805328369,0.27079000473022463,0.339555883,1.0,1.0,1.0,1.0,0.993382173,1.0,0.9911355311355312,0.9995604395604396,0.973431013
GunPointOldVersusYoung,3.4037349224090576,2.1696222972869874,27.820412322,3.1724190616607664,5.26888876,1.0243452644348143,1.236772518157959,0.8138234138488769,1.089178228,0.8776104068756103,0.5833946895599366,16.05013218,0.9518282127380371,0.11594305,0.13812998771667476,0.43151595115661623,0.2613275909423828,0.341899395,1.0,1.0,1.0,1.0,0.988937729,1.0,0.9782857142857143,1.0,0.982246642
Ham,4.361131429672241,2.43367883682251,24.86980761,4.599783229827881,16.83173923,0.705109806060791,2.1894417095184324,0.6957580375671387,1.671200752,1.2250714778900147,0.716784896850586,65.12872487199999,1.3241443729400637,0.471301985,0.1377075386047363,0.6393728923797608,0.2904364681243896,0.516227341,0.9029235880398672,0.7852713178294574,0.8391362126,0.8861351052048727,0.859800664,0.8775858250276855,0.8768770764119601,0.893576965669989,0.682502769
HandOutlines,248.93730727195742,84.79549377441406,553.281084,198.63580552101135,1093.788307,7.457282762527465,182.83710344314574,17.274551773071288,54.27964673,61.71285189628601,20.926734046936037,194.36793018,52.84000916481018,106.707586,1.3809253978729248,47.12060887336732,4.095866794586182,15.53503923,0.9502189781021899,0.9459854014598541,0.9148905108,0.9477372262773723,0.932846715,0.94992700729927,0.9324087591240875,0.9395620437956204,0.72919708
Haptics,26.94417547225952,14.511550092697144,137.16403834,25.737793035507202,329.3000823,1.72648024559021,12.342826309204101,2.6600794982910156,9.173446989,6.777434053421021,3.6718860244750977,261.354023,7.399208536148071,7.537722349,0.280189151763916,3.45018648147583,0.7486601448059081,2.655211973,0.5883777466105656,0.6330060776063581,0.581257597,0.6030528284244975,0.585179991,0.5995558672276765,0.5232678821879382,0.586507713884993,0.45799439
Herring,3.2341182041168217,1.7656310176849366,16.748383756,3.1223131084442137,9.995271921,0.5124845981597901,1.7277965068817138,0.5123316860198974,0.979095411,0.961182746887207,0.56786114692688,49.773917256,1.0272003650665282,0.28448019,0.09496047019958492,0.639469347000122,0.25295116424560543,0.289583731,0.6,0.6406153846153846,0.6309538464,0.6499076923076922,0.618153846,0.6168615384615384,0.636123076923077,0.624,0.592923077
HouseTwenty,17.199973039627075,7.623399085998535,52.557755812,18.084985866546628,47.57208514,1.3240977001190184,24.561643466949466,1.8115657520294193,6.421804905,4.548462409973144,2.024486465454102,34.112351818,4.694410886764526,6.096322393,0.2396205902099609,6.738274345397949,0.5968098545074463,1.868575048,0.985,0.9872983870967742,0.97625,0.9875,0.962298387,0.9860483870967742,0.985,0.9747983870967742,0.943145161
InlineSkate,60.578436326980594,28.7024144077301,228.91569184,62.630195455551146,936.5195356,3.3374399757385254,64.92960709571838,5.8993229484558105,28.06310787,15.363407201766966,7.177133846282959,281.81254588,16.57927942276001,30.55631533,0.6335545921325684,16.50633912086487,1.4863109016418456,8.07938962,0.728,0.7015384615384616,0.8556923076,0.692923076923077,0.689230769,0.7673846153846153,0.5424615384615384,0.7467692307692307,0.506153846
InsectEPGRegularTrain,9.5842875957489,4.653059062957764,46.369262608,9.155685586929321,41.77109723,1.098927364349365,7.14294768333435,1.1589134597778321,3.992228127,2.552034502029419,1.2456455039978027,19.533912620000002,2.699829740524292,1.166190863,0.18802894592285155,1.856121606826782,0.39386392593383784,1.19630456,1.0,1.0,1.0,1.0,0.993548387,1.0,1.0,1.0,1.0
InsectEPGSmallTrain,8.456074886322021,4.023217716217041,32.273295492,8.277521028518677,34.79160719,1.0031086349487304,6.656147127151489,1.0036880588531494,3.390630722,2.2531865501403807,1.1056369495391847,18.447713772,2.4788231658935547,0.982526112,0.18693057060241697,1.6643293190002442,0.35554253578186035,0.990770388,1.0,1.0,1.0,1.0,0.988749126,1.0,1.0,1.0,1.0
InsectWingbeatSound,24.53032217979431,15.026301956176757,294.44882376,21.381187276840212,591.5863071,5.530314588546753,8.097856378555297,4.4262683296203615,10.23856621,5.139432382583618,3.3231059551239013,986.14208098,5.509836301803589,9.893473625,0.4811871147155761,2.0691703510284425,0.878780002593994,2.615383101,0.7400909090909091,0.7367272727272727,0.7318181819999999,0.7356363636363636,0.668636364,0.7417272727272727,0.3633636363636363,0.7103636363636363,0.489090909
ItalyPowerDemand,2.1434714794158936,1.7585828113555908,44.666561366,1.2816413402557374,0.713773155,2.111926965713501,0.7825383567810059,1.0717323207855223,2.056736898,0.3466601467132568,0.33986766815185543,97.70049185,0.3369180583953857,0.018230677,0.1781070041656494,0.20322531700134272,0.21912858963012694,0.449773359,0.9713399750933996,0.9748011623080115,0.972449979,0.9718879202988792,0.935230386,0.9746409298464093,0.5820755500207555,0.9724582814445828,0.958941469
LargeKitchenAppliances,39.174579277038575,12.681074771881104,133.33526326,23.988377618789674,113.6004692,2.134220952987671,17.584021644592287,2.9987222480773927,4.39172492,9.948505821228029,3.2290648555755617,207.13741442,7.312196226119996,3.897717667,0.31677076339721677,4.382480220794678,0.7642187213897704,1.254717875,0.9581333333333333,0.9144,0.8989333333999999,0.9632,0.930666667,0.9480000000000001,0.9328,0.9466666666666667,0.892
Lightning2,8.277318410873413,2.0426843070983884,18.812918786,4.169557094573975,11.25957956,0.5623628330230713,2.982011203765869,0.5739132690429687,1.77442255,2.9009500122070313,0.6432829380035401,40.937003834,1.2923882961273194,0.415741587,0.12386912345886222,0.9178910636901856,0.2649316215515136,0.524909258,0.8215999999999999,0.8226666666666667,0.8049333334,0.8092,0.752666667,0.789,0.686,0.8557333333333332,0.842666667
Lightning7,5.8360934162139895,1.2930986881256104,17.800590606,2.31504225730896,17.32532606,0.508080883026123,1.2287609100341796,0.460686502456665,1.203228951,1.8561946582794189,0.45831716537475586,73.476618634,0.7778991794586181,0.290781069,0.10546990394592282,0.4905561351776123,0.21971382141113277,0.357875967,0.844334975369458,0.818128078817734,0.7824137932,0.8051231527093596,0.791133005,0.8263054187192118,0.601576354679803,0.8570443349753696,0.692857143
Mallat,129.60381175041198,58.451662178039555,440.64419580000003,109.43142953872682,946.9476657,8.078034296035767,61.9852110671997,13.017766151428223,18.86253076,29.18033605575561,13.99683180809021,51.588044586,27.969193372726437,25.11216068,0.9786725234985353,15.866265573501588,2.8636491966247557,5.116529036,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.974166667
Meat,2.689807281494141,1.4781749725341797,13.148525662,2.927317514419556,12.19463792,0.44761840820312504,0.9357147216796875,0.43814028739929195,0.773365116,0.8208679866790771,0.49547616004943845,21.998570524,0.9389804840087891,0.253898287,0.09840211868286128,0.4307752799987793,0.23665252685546873,0.227150536,0.9916666666666668,0.9566666666666667,0.9833333332,1.0,0.983333333,0.9916666666666668,1.0,0.9916666666666668,0.9
MedicalImages,5.262188901901245,3.65371955871582,90.617610484,4.300250768661499,100.8754072,2.383833379745483,1.7779419898986817,1.3839222049713134,2.765329218,1.1484046268463135,0.8430927944183348,433.4321724,1.1137395668029786,1.278195477,0.22079581260681147,0.5385537433624268,0.3624456119537353,0.672443914,0.8629081437217497,0.8457504022063894,0.8559342678,0.8294484026660538,0.757224393,0.8669807707040527,0.5807025204933731,0.8517038228759672,0.749306673
